dimension,cle,libelle,bon,moyen,insuffisant,renseigne,total_dpe,pct_insuffisant,pct_bon
national,france,France,1.79331e+06,4.4361e+06,4.14482e+06,10374236,1.52801e+07,39.953,17.2862
paradoxe_ab,AB,Etiquettes A ou B,103401,364218,209357,676976,984508,30.9253,15.274
par_etiquette,D,D,577904,1.41536e+06,1.32539e+06,3318646,4.7556e+06,39.9376,17.4138
par_etiquette,C,C,538598,1.77057e+06,987778,3296947,5.61304e+06,29.9604,16.3363
par_etiquette,E,E,347080,623092,879696,1849868,2.43594e+06,47.5545,18.7624
par_etiquette,F,F,147487,190653,435500,773640,950383,56.2923,19.064
par_etiquette,B,B,80073,258136,151114,489323,757384,30.8823,16.364
par_etiquette,G,G,78842,72214,307103,458159,540674,67.0298,17.2084
par_etiquette,A,A,23328,106082,58243,187653,227124,31.0376,12.4315
par_region,11,11,316747,719649,837729,1874125,3.26578e+06,44.6997,16.9011
par_region,84,84,220594,592184,418381,1231159,1.77084e+06,33.9827,17.9176
par_region,76,76,173180,485373,331527,990080,1.26994e+06,33.4849,17.4915
par_region,44,44,169502,345203,278238,792943,1.2525e+06,35.0893,21.3763
par_region,32,32,166437,292231,481970,940638,1.24642e+06,51.2386,17.6941
par_region,93,93,162421,430854,303312,896587,1.20761e+06,33.8296,18.1155
par_region,75,75,136236,454887,365112,956235,1.2854e+06,38.1822,14.2471
par_region,28,28,95180,193131,251420,539731,804731,46.5825,17.6347
par_region,52,52,88365,279632,222383,590380,811794,37.6678,14.9675
par_region,27,27,79856,170328,155635,405819,559555,38.3508,19.6777
par_region,24,24,71541,169119,167546,408206,570194,41.0445,17.5257
par_region,53,53,65143,181552,241054,487749,663987,49.4217,13.3558
par_region,94,94,8760,17559,13074,39393,51925,33.1886,22.2375
par_region,02,02,667,4201,1846,6714,7097,27.4948,9.93447
par_region,04,04,102,188,196,486,912,40.3292,20.9877
par_region,01,01,83,298,173,554,646,31.2274,14.9819
par_region,03,03,15,49,17,81,104,20.9877,18.5185
par_region,06,06,3,10,7,20,37,35,15
par_region,00,00,2,14,10,26,27,38.4615,7.69231
par_departement,75,75,62237,164722,318190,545149,828572,58.3675,11.4165
par_departement,59,59,62199,132704,239837,434740,582402,55.1679,14.3072
par_departement,69,69,55701,163277,93275,312253,492839,29.8716,17.8384
par_departement,62,62,55385,71413,120723,247521,313406,48.7728,22.3759
par_departement,06,06,50820,119421,64553,234794,290931,27.4935,21.6445
par_departement,92,92,48022,118874,101588,268484,486351,37.8376,17.8864
par_departement,13,13,46468,159474,106208,312150,470946,34.0247,14.8864
par_departement,44,44,42233,121627,83632,247492,345069,33.7918,17.0644
par_departement,78,78,42164,81768,77107,201039,332178,38.3542,20.973
par_departement,91,91,41142,62708,66846,170696,293644,39.1608,24.1025
par_departement,76,76,40093,67539,91189,198821,342941,45.8649,20.1654
par_departement,83,83,40083,89681,74702,204466,253396,36.5352,19.6037
par_departement,34,34,38342,105122,68456,211920,276726,32.3028,18.0927
par_departement,93,93,36372,78988,77504,192864,399680,40.1858,18.8589
par_departement,94,94,33495,83828,69048,186371,393664,37.0487,17.9722
par_departement,67,67,33344,62755,54631,150730,237504,36.2443,22.1217
par_departement,38,38,31182,86581,60050,177813,244281,33.7714,17.5364
par_departement,57,57,30956,57958,48307,137221,244771,35.2038,22.5592
par_departement,31,31,30604,144147,63592,238343,337746,26.6809,12.8403
par_departement,33,33,30501,136023,102689,269213,384693,38.1441,11.3297
par_departement,63,63,28375,44743,37556,110674,138589,33.9339,25.6384
par_departement,77,77,27583,72632,69749,169964,268776,41.0375,16.2287
par_departement,74,74,26504,58945,43623,129072,195796,33.7974,20.5343
par_departement,95,95,25732,56129,57697,139558,262914,41.3427,18.4382
par_departement,68,68,25651,41511,35218,102380,138878,34.3993,25.0547
par_departement,30,30,25559,46106,45273,116938,154779,38.7154,21.8569
par_departement,66,66,24129,42795,30780,97704,105716,31.5033,24.696
par_departement,35,35,24105,63931,68225,156261,227352,43.6609,15.4261
par_departement,37,37,21779,45188,39129,106096,158916,36.8807,20.5276
