dep,n_dpe,cout_median,n_communes,taux_passoires,nb_rp,taux_suroccupation,part_hlm,part_loc_prive,taux_vacance
01,111004,1599.05,350,9.98342,289706,4.7,14.42,21.17,7.86
02,86732,1966.5,430,15.1213,233332,4.3,15.48,21.02,9.95
03,65318,1949.7,273,18.4497,164406,4.13,10.14,22.56,14.52
04,35743,1781,141,17.6146,81365.4,5.55,8.28,28.6,8.1
05,36079,1960.3,121,23.5733,69072.4,5.21,9.94,24.52,5.67
06,277276,1352.62,136,5.75023,534199,18.81,9.62,31.45,8.01
07,53366,1639.1,269,14.2881,154708,3.64,7.99,22.52,9.3
08,54482,1878.75,187,10.5778,122198,2.84,17.33,20.41,11.51
09,28001,1821.3,186,14.9423,75030.8,3.87,4.45,25.8,8.65
10,56637,1887,221,10.8551,144595,6.66,19.62,20.45,9.2
11,75726,1388.1,277,2.65959,181026,4.83,9.06,25.88,7.96
12,45053,1867.05,227,14.3631,133667,3.58,5.26,22.52,10.98
13,447763,1018.65,133,3.16864,947694,12.79,15.09,31.59,7.25
14,169502,1897.45,413,11.653,329452,7.21,16.37,24.55,6.44
15,21653,2487.4,135,27.9915,70097.8,3.41,7.56,18.95,11.49
16,63625,1972,295,10.5352,168771,3.72,8.62,22.6,10.19
17,141676,1797.4,409,8.81377,325056,4.98,8.06,24.23,6.68
18,63007,1828,243,12.5716,143652,4.13,11.75,18.77,12.57
19,39754,2135.25,202,20.6042,116307,3.59,6.97,21.81,11.06
21,118405,1873.65,354,10.1288,258497,8.75,12.28,25.59,8.33
22,100325,1769.03,332,14.5049,287952,3.34,7.48,19.84,8
23,20443,2257.15,180,31.3702,57729.2,2.58,7.66,16.14,15.46
24,69303,1904.2,406,12.3833,202057,3.49,6.22,22.26,9.86
25,100823,1780,319,9.52858,253542,6.42,12.59,25.75,8.56
26,87424,1588.2,248,8.46106,238939,4.68,10.87,24.78,8.29
27,106504,1905.55,498,11.6465,261193,5.12,14.35,18.61,7.64
28,83813,1964.17,300,12.1306,190147,5.19,14.98,17.14,8.44
29,168186,1611.9,273,11.1068,446651,4,10,19.57,6.89
2A,24745,1078.3,55,3.16832,73773.1,6.97,7.39,30.77,3.37
2B,23505,1082.6,75,3.62902,85365.4,7.96,8.71,31.8,3.19
30,146434,1312.9,321,3.44934,352073,6.52,9.92,27.91,8.45
31,317651,1489.97,370,4.32172,695318,10.93,11.37,35.23,7.11
32,28044,1914.75,192,8.49736,91433.4,3.31,5.67,22.55,10.04
33,367352,1540.35,469,4.9228,789257,8.96,12.66,30.38,6.1
34,262041,1220.5,301,2.65569,584808,11.55,10.38,34.21,6.89
35,219459,1486,327,6.76299,505314,6.76,12.88,26.27,6.19
36,51496,1786,201,12.0611,106106,3.4,13.32,16.09,13.22
37,152685,1709.95,262,7.65891,292530,7.63,16.16,23.6,8.41
38,231244,1710.55,460,10.0643,573243,7.27,13.72,23.14,7.67
39,43189,1831.53,280,14.2953,122207,3.52,10.2,21.43,9.53
40,79617,1562.95,269,6.91435,201797,3.22,6.5,24.65,6.21
41,56187,1835.3,221,13.0617,152573,3.92,11.84,17.84,10.66
42,166906,1880.9,292,11.6491,351538,5.77,14.49,25.11,9.87
43,34332,2197.65,166,19.7658,105738,2.79,6.29,21.09,12.14
44,330842,1451.5,207,6.67781,674295,7.32,12.2,25.56,5.47
45,137504,1912.1,283,11.4615,308015,6.97,14.22,21.74,8.66
46,27443,1796,233,13.3477,86969.5,3.87,5.49,21.44,10.23
47,58563,1882.6,266,9.43428,156831,4.39,6.18,26.49,11.49
48,9275,2138.7,79,27.6873,36415.6,5.28,7.02,23.85,9.05
49,173049,1551.55,171,7.92897,371235,6.03,16.18,22.3,6.28
50,109522,1811,361,10.1696,235400,2.93,14.88,19.85,7.68
51,182021,2031.7,310,8.62153,264587,6.94,23.47,22.23,9.01
52,34035,1883,143,10.3129,81135.6,3.39,16,16.97,11.7
53,49644,1763.95,226,10.8049,137524,3.52,10.04,21.79,9.23
54,164951,1847.05,333,9.04632,343131,7.9,13.28,27.53,9.09
55,27218,2075.82,182,12.3374,83572.2,2.99,9.92,20.08,11.73
56,148425,1567.2,248,8.86643,368472,4.29,9.37,21.21,6.61
57,225187,1819.35,494,8.556,474713,5.2,12.85,24.7,9.05
58,40587,2144.45,217,19.999,101101,3.68,10,19.57,13.66
59,564589,1688.6,617,8.93198,1.1497e+06,7.29,20.8,23.5,7.17
60,137891,1768.03,534,10.6388,348458,7.5,17.74,19.08,7.03
61,51237,2012.62,260,18.8867,130307,3.96,14.29,19.74,10.58
62,299590,1822.3,682,11.4897,631137,3.98,19.81,20.4,7.16
63,131233,2070,377,15.8992,319083,7.07,11.95,24.08,10.45
64,140417,1688.5,304,6.17375,338533,5.83,10.44,26.33,7.29
65,44796,1818,181,11.8046,113034,4.42,9.9,23.09,8.85
66,99819,1229,176,4.56025,237052,6.4,9.42,27.69,7.77
67,222765,1674.2,448,8.69347,521317,9.08,11.55,30.29,7.93
68,131060,1691.2,341,10.09,343427,5.83,12.8,24.72,9.05
69,466939,1545.1,269,6.94716,868233,13.12,17.16,32.52,7.66
70,29503,1929.95,226,13.6223,108444,2.79,9.68,19.59,10.27
71,92423,1946.1,433,14.9227,260853,4.23,13.06,20.57,9.93
72,102104,1773,312,8.93305,257312,4.46,13.62,20.47,8.92
73,119160,1596.8,253,13.6363,208114,7.39,14.29,22.49,5.57
74,185208,1503.75,276,13.3045,384142,8.26,11.92,25.48,6.48
75,795226,1020.62,20,17.8572,1.12547e+06,31.36,18.01,43.86,9.79
76,326869,1807.03,572,9.34992,583123,7.27,22.24,23.43,7.72
77,256100,1827,465,9.03436,587448,12.17,15.79,20.82,6.62
78,317168,1745.1,247,10.0716,611277,12.82,18.96,20.66,6.08
79,61813,1824.4,233,8.94796,172050,3.4,8.16,21.11,8.63
80,101330,1937.2,421,12.7287,257309,7.05,14.38,23.83,8.32
81,64967,1735.3,221,9.25239,184681,4.26,6.86,24.11,8.73
82,40852,1645.2,145,7.17223,116399,4.33,6.38,24.48,9.47
83,240433,1159.3,148,3.60225,525588,8.9,8.93,29.35,5.62
84,109157,1632.6,140,10.5115,259584,6.99,11.68,29.2,9.63
85,120501,1615.9,252,10.6339,320596,3.36,6.77,19.83,5.01
86,87553,1774.3,247,8.70558,208887,7.86,10.46,26.16,9.35
87,87407,2078.55,183,11.7725,185646,6.57,11.81,23.71,9.53
88,63041,1787.3,232,12.1667,170747,3.19,12.32,21.36,10.57
89,60972,2084.8,324,17.2669,155655,4.63,11.92,18.4,11.72
90,31786,1641.83,72,11.3446,64893.1,5.68,17.64,24.66,10.27
91,280745,1320.9,182,7.74974,542250,14.3,19.4,21.16,6.64
92,470984,986.625,36,12.3098,746653,21.62,24.26,30.26,6.63
93,372081,949.4,39,9.48933,661900,27.15,31.39,28.85,6.15
94,375775,1005,47,10.816,615835,22.2,26.41,27.33,5.91
95,252961,1504.8,173,8.85393,497490,16.43,22.61,20.49,6.05
971,520,886.2,3,2.30769,177918,9.44,14.86,20.63,14.49
972,6991,786.5,9,1.95966,170722,9,17.06,21.62,15.58
973,77,948.525,2,7.79221,86397.6,35.8,17.08,34.5,9.94
974,825,1335.4,9,4.48485,353422,12.76,17.52,28.03,8.32
