perimetre,annee,ville,dep,surface_financable,prix_m2_median,n_communes,taux_pct,indice_capacite_2021_100
national,2021,,,119.09,1893.3,16947,1,100
national,2022,,,101.98,2063.1,16158,1.7,93.83
national,2023,,,85.88,2119.5,13954,3.4,80.84
national,2024,,,85.46,2076,13177,3.7,78.81
national,2025,,,89.58,2075.5,14068,3.2,82.23
ville,2021,Aix-en-Provence,13,46.7601409808,,,1,
ville,2021,Amiens,80,59.3453159672,,,1,
ville,2021,Angers,49,54.4158994075,,,1,
ville,2021,Annecy,74,46.88030734,,,1,
ville,2021,Argenteuil,95,56.2225448917,,,1,
ville,2021,Besançon,25,69.305477277,,,1,
ville,2021,Bordeaux,33,43.6374427873,,,1,
ville,2021,Boulogne-Billancourt,92,33.8629196445,,,1,
ville,2021,Brest,29,82.8545096571,,,1,
ville,2021,Caen,14,55.9413172303,,,1,
ville,2021,Clermont-Ferrand,63,66.3696874073,,,1,
ville,2021,Dijon,21,65.5701633082,,,1,
ville,2021,Grenoble,38,65.742531416,,,1,
ville,2021,Le Havre,76,62.4510272087,,,1,
ville,2021,Le Mans,72,88.5025114712,,,1,
ville,2021,Lille,59,42.0676575009,,,1,
ville,2021,Limoges,87,53.517133484,,,1,
ville,2021,Lyon,69,40.8702219358,,,1,
ville,2021,Marseille,13,58.1562434494,,,1,
ville,2021,Montpellier,34,49.0557557402,,,1,
ville,2021,Montreuil,93,28.831059843,,,1,
ville,2021,Nancy,54,73.8463866266,,,1,
ville,2021,Nantes,44,53.4103563832,,,1,
ville,2021,Nice,06,41.6222645091,,,1,
ville,2021,Nîmes,30,67.3269729762,,,1,
ville,2021,Orléans,45,63.8798246608,,,1,
ville,2021,Paris,75,24.0425643435,,,1,
ville,2021,Perpignan,66,82.1006668922,,,1,
ville,2021,Reims,51,63.864371692,,,1,
ville,2021,Rennes,35,49.0080886633,,,1,
ville,2021,Rouen,76,56.3476125428,,,1,
ville,2021,Saint-Denis (93),93,37.8151994526,,,1,
ville,2021,Saint-Denis (974),974,81.5979757054,,,1,
ville,2021,Saint-Paul,974,46.6076719346,,,1,
ville,2021,Saint-Étienne,42,86.8263255579,,,1,
ville,2021,Toulon,83,65.4545346587,,,1,
ville,2021,Toulouse,31,56.1950568921,,,1,
ville,2021,Tours,37,58.8673800714,,,1,
ville,2021,Villeurbanne,69,45.4029844377,,,1,
ville,2022,Aix-en-Provence,13,42.1160474836,,,1.7,
ville,2022,Amiens,80,53.1299855065,,,1.7,
ville,2022,Angers,49,48.0889160416,,,1.7,
ville,2022,Annecy,74,40.330632459,,,1.7,
ville,2022,Argenteuil,95,51.5218966413,,,1.7,
ville,2022,Besançon,25,60.3717070479,,,1.7,
ville,2022,Bordeaux,33,40.7801157453,,,1.7,
