ville,dep,population,effort_petit,effort_familial,effort_d1_familial,prix_m2_appart,revenu_menage,surface_financable,surface_2021,surface_2022,surface_2023,surface_2024,surface_2025,delta_m2,delta_pct
Paris,75,2113705,35.4,63.3,159.4,10267,45508,21.5,24.0426,22.726,20.3723,20.9445,21.6663,-2.3763,-9.88372
Marseille,13,877215,26.7,42.4,88.7,3620,30542,44.7,58.1562,50.1594,43.5403,43.4641,45.1229,-13.0334,-22.411
Lyon,69,520774,22.4,35.3,80,4696,37803,38.6,40.8702,38.4179,35.4558,36.0663,38.8991,-1.97113,-4.82291
Toulouse,31,511684,23.6,36.1,77.5,3403,30746,45.2,56.1951,50.6864,43.8196,44.5189,45.5961,-10.5989,-18.861
Nice,6,353701,32.6,55.1,116.2,5265,30968,29.4,41.6223,37.2707,30.3512,29.5367,29.6877,-11.9345,-28.6734
Nantes,44,325070,21.5,34.4,73.2,3578,34227,47.9,53.4104,49.2779,44.3013,45.4477,48.2861,-5.12422,-9.59405
Montpellier,34,307101,28.8,43.3,90.3,3675,27611,37.6,49.0558,43.3655,36.8141,36.7274,37.9162,-11.1395,-22.7079
Strasbourg,67,291709,26.9,40.8,85.6,,29959,,,,,,,,
Bordeaux,33,265328,23.8,36.5,80.9,4394,34579,39.4,43.6374,40.7801,36.1196,37.5725,39.7166,-3.92081,-8.98496
Lille,59,238695,27.9,43.8,94.4,4065,28844,35.5,42.0677,37.375,33.3938,33.4517,35.8153,-6.25237,-14.8627
Rennes,35,227830,23.9,37.5,80.7,4077,31938,39.2,49.0081,44.397,38.0657,38.1842,39.5402,-9.46792,-19.3191
Toulon,83,180834,24.5,38,75.4,3107,30045,48.4,65.4545,57.209,47.3278,47.0781,48.8053,-16.6492,-25.4364
Reims,51,178478,23.1,40.9,81.6,2981,28827,48.4,63.8644,52.3374,48.5734,47.1493,48.8159,-15.0484,-23.5631
Saint-Étienne,42,172569,18.4,28.4,56.3,1958,27542,70.4,86.8263,69.7126,67.4009,68.8841,70.9877,-15.8386,-18.2417
Le Havre,76,166462,21,34.4,66,2373,29412,62,62.451,59.0404,51.6838,54.7174,62.5583,0.107318,0.171844
Villeurbanne,69,162207,25.7,39.8,81.1,3878,31238,40.3,45.403,41.886,37.0474,37.6012,40.6533,-4.74967,-10.4611
Dijon,21,159941,21.8,33.4,65.5,3059,31286,51.2,65.5702,59.3742,51.1898,52.2854,51.6239,-13.9462,-21.2692
Angers,49,157555,24.2,36.9,73.4,3576,30365,42.5,54.4159,48.0889,41.2924,41.4269,42.857,-11.5589,-21.2418
Grenoble,38,156389,22.5,34.1,71.9,2789,30907,55.4,65.7425,60.6779,51.7108,52.7638,55.9226,-9.81998,-14.937
Saint-Denis,974,156149,25.7,41.4,83.4,,,,,,,,,,
Nîmes,30,150444,23.2,37.9,76,2619,27423,52.4,67.327,60.3311,50.5489,51.4006,52.8492,-14.4778,-21.5037
Aix-en-Provence,13,147933,26.1,40.6,87,5206,37297,35.9,46.7601,42.116,33.5754,34.9266,36.161,-10.5991,-22.667
Clermont-Ferrand,63,147751,22.8,34.6,72.5,2506,28230,56.4,66.3697,57.9212,53.9195,52.3238,56.8686,-9.50105,-14.3153
Le Mans,72,145182,19.8,30,61,2414,30365,63,88.5025,75.3644,60.7026,59.5917,63.4956,-25.0069,-28.2555
Brest,29,140993,22.9,31.1,59.8,3404,29647,43.6,82.8545,68.2935,59.5695,56.2993,43.9596,-38.8949,-46.9436
Tours,37,138668,23.6,35.8,72.9,3111,29063,46.8,58.8674,51.0285,36.5316,46.5028,47.1533,-11.7141,-19.8991
Amiens,80,134780,22.6,36.4,72.9,2907,28156,48.5,59.3453,53.13,44.9438,44.4972,48.8869,-10.4584,-17.6229
Annecy,74,131272,24.2,40.4,77.5,5446,38423,35.3,46.8803,40.3306,34.9515,33.9004,35.6097,-11.2706,-24.0412
Limoges,87,129754,21.2,30.7,62.8,2738,28026,51.2,53.5171,56.4759,53.8285,63.0531,51.6629,-1.85428,-3.46483
Metz,57,121695,23.3,32.2,66.9,,29670,,,,,,,,
Perpignan,66,120996,24.6,35.8,67.8,1878,24633,65.6,82.1007,73.4338,62.299,61.9594,66.1919,-15.9088,-19.3772
Boulogne-Billancourt,92,120205,27.5,47.8,116.8,8344,51556,30.9,33.8629,32.3165,28.2759,30.223,31.1868,-2.67612,-7.90279
Besançon,25,120057,22.9,38.8,77.5,2727,28727,52.7,69.3055,60.3717,44.7966,52.4445,53.1642,-16.1412,-23.29
Orléans,45,116344,21.1,32.3,63.9,2947,30978,52.6,63.8798,58.9746,50.7218,51.7938,53.0549,-10.8249,-16.9458
Rouen,76,116331,23.7,35,75.3,3042,28853,47.5,56.3476,51.2326,47.0227,46.6094,47.8736,-8.47406,-15.0389
Saint-Denis,93,115237,38.3,58.7,122.4,,,,,,,,,,
Montreuil,93,110758,33.9,54.9,121.2,6243,33389,26.8,28.8311,27.1114,24.6528,26.4204,26.9948,-1.8363,-6.36919
Caen,14,108398,24.5,36.5,75.3,3500,28952,41.4,55.9413,48.9077,41.4962,42.0125,41.7509,-14.1905,-25.3667
Argenteuil,95,107135,29.4,45.8,95.4,3668,33563,45.8,56.2225,51.5219,44.5645,42.8288,46.1877,-10.0349,-17.8485
Saint-Paul,974,106220,29.9,44.2,90.5,5467,32588,29.8,46.6077,41.0273,32.492,30.7885,30.0861,-16.5215,-35.4481
Mulhouse,68,104924,24.3,36.3,66.9,,25352,,,,,,,,
